,id,source
1056,14821301,inat
1057,14820493,inat
1058,14808153,inat
1059,14806826,inat
1060,14782240,inat
1061,14781319,inat
1062,14781318,inat
1063,14781317,inat
1064,14781316,inat
1065,14781315,inat
1066,14726556,inat
1067,14643400,inat
1068,14474084,inat
1069,14345331,inat
1070,14290883,inat
1071,14170426,inat
1072,14088667,inat
1073,13959019,inat
1074,13942197,inat
1075,13589372,inat
1076,13561456,inat
1077,13549687,inat
1078,13473592,inat
1079,13459274,inat
1080,13457840,inat
1081,13387463,inat
1082,13359165,inat
1083,13241668,inat
1084,13237959,inat
1085,13200285,inat
1086,13088713,inat
1087,13074600,inat
1088,13070902,inat
1089,12974640,inat
1090,12974638,inat
1091,12974633,inat
1092,12974557,inat
1093,12903180,inat
1094,12892070,inat
1095,12854338,inat
1096,12841555,inat
1097,12841538,inat
1098,12830886,inat
1099,12827117,inat
1100,12818427,inat
1101,12741387,inat
1102,12737716,inat
1103,12682068,inat
1104,12618197,inat
1105,12614575,inat
1106,12562760,inat
1107,12538844,inat
1108,12512919,inat
1109,12508113,inat
1110,12457247,inat
1111,12442672,inat
1112,12349163,inat
1113,12275039,inat
1114,12200773,inat
1115,12137760,inat
1116,12033790,inat
1117,11976426,inat
1118,11914221,inat
1119,11460764,inat
1120,11450144,inat
1121,11419916,inat
1122,11386389,inat
1123,11322823,inat
1124,11228273,inat
1125,11184545,inat
1126,11112046,inat
1127,11112045,inat
1128,11107933,inat
1129,10726332,inat
1130,10681013,inat
1131,10588546,inat
1132,9908531,inat
1133,9896295,inat
1134,9359143,inat
1135,9258047,inat
1136,9203162,inat
1137,9203145,inat
1138,9166502,inat
1139,9133155,inat
1140,9133125,inat
1141,9077280,inat
1142,8988980,inat
1143,8967867,inat
1144,7895510,inat
1145,7817936,inat
1146,7730204,inat
1147,7609056,inat
1148,7387224,inat
1149,7340749,inat
1150,7173935,inat
1151,6931477,inat
1152,6733979,inat
1153,6714410,inat
1154,6668208,inat
1155,6320210,inat
1156,6261705,inat
1157,6159195,inat
1158,6142373,inat
1159,5667659,inat
1160,5211293,inat
1161,4750783,inat
1162,4493195,inat
1163,4390770,inat
1164,4180179,inat
1165,4098743,inat
1166,4026255,inat
1167,3916266,inat
1168,3840960,inat
1169,3433831,inat
1170,3395688,inat
1171,3308896,inat
1172,3301882,inat
1173,3153405,inat
1174,3144682,inat
1175,1734963,inat
1176,1623089,inat
1177,843963,inat
1178,100721,inat
1179,86548,inat
1180,16677,inat
